6.3598 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1440, 900]. Using actual size
7.1304 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9b85c42400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9b85c423a0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f9b85c42220>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f9b85a2cb20>, multiSample=False, name='window1', numSamples=2, pos=[360.0, 225.0], screen=0, size=array([2880, 1800]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=True, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.1306 	EXP 	window1: mouseVisible = True
7.1306 	EXP 	window1: backgroundImage = ''
7.1306 	EXP 	window1: backgroundFit = 'none'
7.1329 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.1329 	EXP 	window1: recordFrameIntervals = False
7.2972 	EXP 	window1: recordFrameIntervals = True
7.4812 	EXP 	Screen (0) actual frame rate measured at 59.80Hz
7.4812 	EXP 	window1: recordFrameIntervals = False
7.4821 	EXP 	window1: mouseVisible = False
10.1636 	EXP 	Framing_HieuLe: status = STARTED
10.1644 	EXP 	window1: mouseVisible = True
10.1647 	EXP 	window1: mouseVisible = True
10.1655 	EXP 	window1: mouseVisible = True
10.1661 	EXP 	window1: mouseVisible = True
10.1761 	EXP 	window1: mouseVisible = True
10.1763 	EXP 	window1: mouseVisible = True
10.1769 	EXP 	window1: mouseVisible = True
10.1775 	EXP 	window1: mouseVisible = True
10.2059 	EXP 	window1: mouseVisible = True
10.2062 	EXP 	window1: mouseVisible = True
10.2064 	EXP 	window1: mouseVisible = True
10.2070 	EXP 	window1: mouseVisible = True
10.2076 	EXP 	window1: mouseVisible = True
10.2146 	EXP 	window1: mouseVisible = True
10.2147 	EXP 	window1: mouseVisible = True
10.2153 	EXP 	window1: mouseVisible = True
10.2159 	EXP 	window1: mouseVisible = True
10.2223 	EXP 	window1: mouseVisible = True
10.2226 	EXP 	window1: mouseVisible = True
10.2368 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
0.0190 	EXP 	Imported lists.xlsx as conditions, 2 conditions, 1 params
0.0213 	EXP 	Created sequence: random, trialTypes=2, nReps=1, seed=None
0.0215 	EXP 	New trial (rep=0, index=0): {'listName': 'framing1.xlsx'}
0.0277 	EXP 	Imported framing1.xlsx as conditions, 5 conditions, 5 params
0.0280 	EXP 	Created sequence: random, trialTypes=5, nReps=1, seed=None
0.0282 	EXP 	New trial (rep=0, index=0): {'ItemText': 'At a fundraiser, you are presented with two options for a raffle ticket. For Option A,\nyou are guaranteed to win a gift card to a random restaurant valued at $5. For Option B, you\nhave a 20% chance to win a gift card to a random restaurant valued at $25.', 'Question': 'Which option would you select?', 'Option1': 'OPTION A', 'Option2': 'OPTION B', 'Framing': 1}
0.1426 	EXP 	text: height = 0.05
0.1426 	EXP 	text: height = 0.05
0.1426 	EXP 	text: height = 0.05
0.1426 	EXP 	text: text = 'At a fundraiser, you are presented with two options for a raffle ticket. For Option A,\nyou are guaranteed to win a gift card to a random restaurant valued at $5. For Option B, you\nhave a 20% chance to win a gift card to a random restaurant valued at $25.'
0.1426 	EXP 	text: autoDraw = True
30.1907 	DATA 	Keypress: escape
30.2623 	EXP 	Framing_HieuLe: status = STOPPED
30.2772 	EXP 	text: autoDraw = False
30.2772 	EXP 	Framing_HieuLe: status = STOPPED
30.3064 	EXP 	window1: mouseVisible = True
